company,email,email_type,score,source,confidence,notes
cars.com,,,0,error,none,"Timeout error - unable to access"
chicagotribune.com,,,0,error,none,"403 Forbidden - access denied"
chicago.gov,,,0,skipped,none,"Government website - not target for consulting"
rldatix.com,,,0,none,none,"No business emails found - only contact forms and support links"
zs.com,,,0,none,none,"No direct emails - contact form only (consulting firm)"
partstown.com,,,0,error,none,"403 Forbidden - access denied"
peoplescout.com,,,0,none,none,"No emails found - contact form only (recruitment/HR services)"
restaurantbusinessonline.com,,,0,none,none,"No business emails - contact form only (media/publishing)"
cmegroup.com,,,0,error,none,"Timeout error - unable to access"
revenera.com,revenerapr@clementpeterson.com,press,3,scraped,high,"PR contact only (not business development)"
revenera.com,agiliberto@flexera.com,press,3,scraped,high,"Parent company PR contact (not business development)"
healthadvocate.com,,,0,none,none,"No emails visible - contact form only"
rainn.org,,,0,none,none,"Non-profit organization - contact form only"
phila.gov,,,0,skipped,none,"Government website - not target for consulting"
elexio.com,,,0,none,none,"No emails found - demo/trial forms only (church management software)"
hartfordfunds.com,,,0,none,none,"No emails - phone contacts only (financial services)"
crothall.com,,,0,none,none,"No emails - phone and contact form only (healthcare support services)"
epam.com,,,0,error,none,"403 Forbidden - access denied"
laithwaites.com,,,0,error,none,"SSL certificate error - unable to access"
siemens-healthineers.com,,,0,none,none,"No emails on homepage - contact forms only (medical equipment - tech giant)"
philamuseum.org,,,0,none,none,"Museum - phone only, not consulting target"
